Car ID: 1, Speed: 87.24 km/h, Time: 1777122802
Car ID: 5, Speed: 84.35 km/h, Time: 1777122802
Car ID: 3, Speed: 111.32 km/h, Time: 1777122802
Car ID: 7, Speed: 126.41 km/h, Time: 1777122803
Car ID: 8, Speed: 129.82 km/h, Time: 1777122803
Car ID: 6, Speed: 93.22 km/h, Time: 1777122803
Car ID: 11, Speed: 95.69 km/h, Time: 1777122804
Car ID: 12, Speed: 85.38 km/h, Time: 1777122804
Car ID: 13, Speed: 85.38 km/h, Time: 1777122804
Car ID: 9, Speed: 103.87 km/h, Time: 1777122804
Car ID: 15, Speed: 99.28 km/h, Time: 1777122805
Car ID: 10, Speed: 81.72 km/h, Time: 1777122805
Car ID: 17, Speed: 130.05 km/h, Time: 1777122805
Car ID: 18, Speed: 80.28 km/h, Time: 1777122806
Car ID: 21, Speed: 82.60 km/h, Time: 1777122806
Car ID: 23, Speed: 118.80 km/h, Time: 1777122806
Car ID: 22, Speed: 96.14 km/h, Time: 1777122806
Car ID: 24, Speed: 140.50 km/h, Time: 1777122806
Car ID: 25, Speed: 93.22 km/h, Time: 1777122806
Car ID: 26, Speed: 109.21 km/h, Time: 1777122806
Car ID: 28, Speed: 114.55 km/h, Time: 1777122806
Car ID: 27, Speed: 152.83 km/h, Time: 1777122807
Car ID: 30, Speed: 109.21 km/h, Time: 1777122807
Car ID: 33, Speed: 88.57 km/h, Time: 1777122808
Car ID: 35, Speed: 97.35 km/h, Time: 1777122808
Car ID: 36, Speed: 91.64 km/h, Time: 1777122809
Car ID: 37, Speed: 100.88 km/h, Time: 1777122809
Car ID: 40, Speed: 197.08 km/h, Time: 1777122810
Car ID: 41, Speed: 94.46 km/h, Time: 1777122810
Car ID: 43, Speed: 152.83 km/h, Time: 1777122810
Car ID: 45, Speed: 103.73 km/h, Time: 1777122811
Car ID: 50, Speed: 129.60 km/h, Time: 1777122811
Car ID: 53, Speed: 182.72 km/h, Time: 1777122812
Car ID: 57, Speed: 135.43 km/h, Time: 1777122814
Car ID: 58, Speed: 148.28 km/h, Time: 1777122815
Car ID: 60, Speed: 97.35 km/h, Time: 1777122815
Car ID: 56, Speed: 89.87 km/h, Time: 1777122815
Car ID: 61, Speed: 91.80 km/h, Time: 1777122816
Car ID: 62, Speed: 135.43 km/h, Time: 1777122816
Car ID: 63, Speed: 108.00 km/h, Time: 1777122816
Car ID: 64, Speed: 140.81 km/h, Time: 1777122816
Car ID: 69, Speed: 119.53 km/h, Time: 1777122817
Car ID: 71, Speed: 198.11 km/h, Time: 1777122817
Car ID: 72, Speed: 114.42 km/h, Time: 1777122817
Car ID: 70, Speed: 82.60 km/h, Time: 1777122817
Car ID: 73, Speed: 89.87 km/h, Time: 1777122818
Car ID: 74, Speed: 114.55 km/h, Time: 1777122818
Car ID: 77, Speed: 109.21 km/h, Time: 1777122819
Car ID: 76, Speed: 95.69 km/h, Time: 1777122819
Car ID: 78, Speed: 142.05 km/h, Time: 1777122819
Car ID: 79, Speed: 187.45 km/h, Time: 1777122819
Car ID: 80, Speed: 132.38 km/h, Time: 1777122819
Car ID: 82, Speed: 97.80 km/h, Time: 1777122819
Car ID: 81, Speed: 143.48 km/h, Time: 1777122819
Car ID: 84, Speed: 125.95 km/h, Time: 1777122821
Car ID: 85, Speed: 183.68 km/h, Time: 1777122822
Car ID: 86, Speed: 92.91 km/h, Time: 1777122823
Car ID: 87, Speed: 111.19 km/h, Time: 1777122823
Car ID: 89, Speed: 152.83 km/h, Time: 1777122824
Car ID: 90, Speed: 110.80 km/h, Time: 1777122824
Car ID: 91, Speed: 96.60 km/h, Time: 1777122825
Car ID: 93, Speed: 168.18 km/h, Time: 1777122825
Car ID: 96, Speed: 176.89 km/h, Time: 1777122825
Car ID: 97, Speed: 195.15 km/h, Time: 1777122826
Car ID: 99, Speed: 102.46 km/h, Time: 1777122826
Car ID: 100, Speed: 92.43 km/h, Time: 1777122826
Car ID: 98, Speed: 89.39 km/h, Time: 1777122826
Car ID: 104, Speed: 123.26 km/h, Time: 1777122826
Car ID: 106, Speed: 85.38 km/h, Time: 1777122827
Car ID: 107, Speed: 99.57 km/h, Time: 1777122827
Car ID: 105, Speed: 82.43 km/h, Time: 1777122827
Car ID: 108, Speed: 89.06 km/h, Time: 1777122827
Car ID: 109, Speed: 168.79 km/h, Time: 1777122828
